db_lden,oppervlakte_overlap_m2,inwoners_overlap,inwoners,onbebouwde_bebouwbare_percelen,onbebouwde_onbebouwbare_percelen,bewoonde_niet_geïsoleerde_woning,bewoonde_geïsoleerde_woning,nieuwe_woning,perceel_eigendom_overheid,woning_eigendom_overheid,onbebouwbaar_naar_bebouwbaar,bebouwbaar_naar_onbebouwbaar,aantal_woning_transacties_per_jaar,aantal_transacties_niet_geïsoleerde_woningen,aantal_transacties_geïsoleerde_woningen,aantal_bebouwbare_perceel_transacties_per_jaar,aantal_vergunningen_nieuwbouw,aantal_vergunningen_renovatie,aantal_vergunningen_kwetsbare_groepen,jaarlijks_aantal_vergunningen_met_isolatie,jaarlijks_aantal_vergunningen_zonder_isolatie,aantal_vergunningen_sloop,aantal_nieuwe_percelen_verkaveling,inwoners_lnight45,inwoners_na70,oppervlakte_lnight45_m2,oppervlakte_na70_m2,gemiddelde_prijs_van_een_woning,gemiddelde_prijs_bebouwbaar_perceel,share_lnight45,share_na70,slopen_niet_geïsoleerde_woningen_baseline,slopen_niet_geïsoleerde_woningen_active,slopen_geïsoleerde_woningen_baseline,slopen_geïsoleerde_woningen_active,verkavelings_verbod_baseline,verkavelings_verbod_active,natuurlijke_woongebied_schrapping_baseline,natuurlijke_woongebied_schrapping_active,woongebiedverbod_baseline,woongebiedverbod_active,aankoopbeleid_percelen_baseline,aankoopbeleid_percelen_active,voorkooprecht_percelen_baseline,voorkooprecht_percelen_active,onteigening_percelen_baseline,onteigening_percelen_active,woningverbod_baseline,woningverbod_active,verbod_kwetsbare_groep_baseline,verbod_kwetsbare_groep_active,woonverdichtingsverbod_niet_geïsoleerde_woningen_baseline,woonverdichtingsverbod_niet_geïsoleerde_woningen_active,woonverdichtingsverbod_geïsoleerde_woningen_baseline,woonverdichtingsverbod_geïsoleerde_woningen_active,aankoopbeleid_niet_geïsoleerde_woningen_baseline,aankoopbeleid_niet_geïsoleerde_woningen_active,aankoopbeleid_geïsoleerde_woningen_baseline,aankoopbeleid_geïsoleerde_woningen_active,voorkooprecht_niet_geïsoleerde_woningen_baseline,voorkooprecht_niet_geïsoleerde_woningen_active,voorkooprecht_geïsoleerde_woningen_baseline,voorkooprecht_geïsoleerde_woningen_active,onteigening_niet_geïsoleerde_woningen_baseline,onteigening_niet_geïsoleerde_woningen_active,onteigening_geïsoleerde_woningen_baseline,onteigening_geïsoleerde_woningen_active,isolatievoorschriften_nieuwbouw_naar_niet_geïsoleerde_woning_baseline,isolatievoorschriften_nieuwbouw_naar_niet_geïsoleerde_woning_active,isolatievoorschriften_nieuwbouw_naar_geïsoleerde_woning_baseline,isolatievoorschriften_nieuwbouw_naar_geïsoleerde_woning_active,renovatie_zonder_maatregel_baseline,renovatie_zonder_maatregel_active,verplicht_isoleren_renovatie_baseline,verplicht_isoleren_renovatie_active,gesubsidieerd_isolatieprogramma_baseline,gesubsidieerd_isolatieprogramma_active,gestuurd_isolatieprogramma_baseline,gestuurd_isolatieprogramma_active,aanleg_geluidsbuffers_baseline,aanleg_geluidsbuffers_active
55,19799409.27265945,29852.163912623993,32344.637447064,432,1296,9647.708087837545,1628.984636201976,0.0,0,0,0.3999999999999999,1.2,1245.1633312755039,1065.727012736482,179.43631853902164,122.53019099975255,161.66135312485932,122.279639720989,3.0299385290801433,24.455927944197803,97.82371177679121,62.61319212100499,40.48519864660765,32342.150347064002,211.24915118623,19781186.095349453,84558.06527924,336978.0813588115,329898.31069401785,0.999923106264398,0.0065311955198745185,0.0013881107176824754,0.0,0.0013881107176824754,0.0,0.09371573760788808,0.0,0.002777777777777778,0.0,0.0003086419753086419,0.0,0,0.07090867534707902,0,0.14181735069415805,0,1.0,0.013806951547455575,0.0,0.007013746595092924,0,0.013806951547455575,0.0,0.013806951547455575,0.0,0,0.027616067024250006,0,0.02753806183178353,0,0.05523213404850001,0,0.05507612366356706,0,1.0,0,1.0,0.0,0.0,1.0,1.0,0,0.012674475492800381,0,0.012674475492800381,0,0.025348950985600763,0,1.0,0,0
56,14773390.0352845,18941.255483363002,17718.493526113,215,645,5330.600749373968,781.4000394407352,0.0,0,0,0.19999999999999998,1.5999999999999999,785.3880898414972,674.0677917422814,111.32029809921582,34.86449237791632,81.16430721070638,67.48230447689393,1.5500318510685271,13.496460895378785,53.98584358151514,33.05689556180948,16.792298697980723,17718.493526113,1209.5184446551102,14773390.0352845,1210320.5488485992,308718.4198962418,306244.2602842322,1.0,0.0682630519842196,0.0013521306976230034,0.0,0.0013521306976230034,0.0,0.07810371487432895,0.0,0.007441860465116279,0.0,0.0003100775193798449,0.0,0,0.04054010741618177,0,0.08108021483236354,0,1.0,0.012828243573826338,0.0,0.007209450470086173,0,0.012828243573826338,0.0,0.012828243573826338,0.0,0,0.0316131250226086,0,0.035615655387888814,0,0.0632262500452172,0,0.07123131077577763,0,1.0,0,1.0,0.5,0.0,1.0,1.0,0,0.0025318836525064885,0,0.010127534610025954,0,0.025318836525064885,0,1.0,0,0
57,11631715.336458178,11727.8419520153,11281.786266423002,103,309,3382.79777899983,534.8840936315701,0.0,0,0,0.0,0.4,409.55713416936817,344.0931241018915,65.46401006747676,8.657813614124876,37.134997714319,41.42371021252705,0.6741433800286916,8.28474204250541,33.13896817002164,20.850632551730673,8.105220877935238,11281.786266423002,1991.039309933774,11631715.336458178,3588114.601092458,326221.7028236315,251975.17753746558,1.0,0.17648262987037175,0.0013305465597775728,0.0,0.0013305465597775728,0.0,0.0786914648343227,0.0,0.0038834951456310682,0.0,0.0,0.0,0,0.02101411071389533,0,0.04202822142779066,0,1.0,0.009235995010472042,0.0,0.00654508135950186,0,0.009235995010472042,0.0,0.009235995010472042,0.0,0,0.025429625607389046,0,0.030597287733409674,0,0.05085925121477809,0,0.06119457546681935,0,1.0,0,1.0,0.5,0.0,1.0,1.0,0,0.002449079898874389,0,0.009796319595497555,0,0.024490798988743886,0,1.0,0,0
58,9747143.605800245,6422.131949745,6586.698285717,94,282,1944.6625374236012,417.35065986440014,0.0,0,0,0.0,0.4,356.6764255708763,289.8248108217307,66.8516147491457,12.787496290178616,24.20273477900536,24.042916893842342,0.3852388062228103,4.808583378768469,19.234333515073875,13.390985247907501,7.975609595355677,6586.698285717,2745.5092796406093,9747143.605800245,5538598.8427193,306654.5441735461,219995.18026193115,1.0,0.41682633096981836,0.0014173275220564668,0.0,0.0014173275220564668,0.0,0.08484691058889018,0.0,0.00425531914893617,0.0,0.0,0.0,0,0.034009298644092065,0,0.06801859728818413,0,1.0,0.009854480751866766,0.0,0.004098285172583089,0,0.009854480751866766,0.0,0.009854480751866766,0.0,0,0.03725901091375306,0,0.040045231251620766,0,0.07451802182750612,0,0.08009046250324153,0,1.0,0,1.0,0.5,0.0,1.0,1.0,0,0.002472708393477437,0,0.009890833573909748,0,0.024727083934774366,0,1.0,0,0
59,8352786.087568099,6345.640815754,6462.274662483,87,261,1765.2894353147835,369.8573387007781,0.0,0,0,0.2,1.0,344.294168270927,280.95983983215996,63.334328438767116,12.849819621509251,20.7762152195399,21.073752662197215,0.29788973883904335,4.214750532439442,16.85900212975777,12.042361879076706,7.853637224024919,6462.274662483,3791.503958679968,8352786.087568099,5732348.110808099,288130.98480691167,253624.7568983997,1.0,0.5867135268470868,0.0014100156984089536,0.0,0.0014100156984089536,0.0,0.09027169223017148,0.0,0.011494252873563218,0.0,0.0007662835249042146,0.0,0,0.03692476902732544,0,0.07384953805465087,0,1.0,0.009349614284026768,0.0,0.0034240199866556707,0,0.009349614284026768,0.0,0.009349614284026768,0.0,0,0.039789486388397785,0,0.04280997144821144,0,0.07957897277679557,0,0.08561994289642288,0,1.0,0,1.0,0.5,0.0,1.0,1.0,0,0.0023875691136665505,0,0.009550276454666202,0,0.023875691136665503,0,1.0,0,0
60,7055362.310703039,8907.032039958,8449.842022226,75,225,2462.691187671136,492.1416414563756,0.0,0,0,0.4,2.2,385.0761453338461,316.2190679616755,68.85707737217056,6.594512793969315,26.317517983835934,29.457106913547975,0.47157974866901115,5.891421382709594,23.565685530838376,16.00605925460495,6.366089888770423,8449.842022226,7076.591874381269,7055362.310703039,6270749.124286841,308428.6538620836,283614.0940524572,1.0,0.8374821512363653,0.0013542271407728961,0.0,0.0013542271407728961,0.0,0.08488119851693897,0.0,0.029333333333333336,0.0,0.0017777777777777779,0.0,0,0.02198170931323105,0,0.0439634186264621,0,1.0,0.008686128729885893,0.0,0.006287729982253482,0,0.008686128729885893,0.0,0.008686128729885893,0.0,0,0.03210096636808842,0,0.03497828245563843,0,0.06420193273617684,0,0.06995656491127686,0,1.0,0,1.0,0.5,0.0,1.0,1.0,0,0.0023922696488311497,0,0.009569078595324599,0,0.023922696488311496,0,1.0,0,0
61,5701392.782629999,7180.764539871001,7357.149702500001,72,216,2237.307378498292,380.3319672893838,0.0,0,0,0.6000000000000001,1.4,279.8491644377431,234.67406166844128,45.17510276930193,8.839701248572215,30.060943357287915,27.3753027034192,0.5062932765058911,5.475060540683843,21.90024216273537,14.03161332519674,6.161030825597417,7357.149702500001,6830.6129246195,5701392.782629999,5486341.28102,314750.49335230846,179575.76508700274,1.0,0.9284319608582138,0.001340101850525791,0.0,0.001340101850525791,0.0,0.0855698725777419,0.0,0.019444444444444445,0.0,0.0027777777777777783,0.0,0,0.030693407113097967,0,0.061386814226195935,0,1.0,0.01117657034738403,0.0,0.00703185106258182,0,0.01117657034738403,0.0,0.01117657034738403,0.0,0,0.026222823015266388,0,0.029694521269973528,0,0.052445646030532776,0,0.059389042539947055,0,1.0,0,1.0,0.5,0.0,1.0,1.0,0,0.0024471651027042907,0,0.009788660410817163,0,0.024471651027042907,0,1.0,0,0
62,4196356.4409993,4231.269343887,4247.520857553,62,186,1217.7291848032455,241.72258867385506,0.0,0,0,0.5999999999999999,1.3999999999999997,175.5601008593637,144.29798525979737,31.26211559956632,18.71227703455964,17.389231051035313,15.199587349471416,0.270585761127792,3.039917469894284,12.159669879577136,7.75892354079306,5.2623468600764065,4247.520857553,4002.4625819583,4196356.4409993,4136943.0305643,300602.0475030773,92729.53979397527,1.0,0.9423055745190906,0.0013290818651560603,0.0,0.0013290818651560603,0.0,0.08487656225929688,0.0,0.022580645161290318,0.0,0.0032258064516129024,0.0,0,0.07545272997806307,0,0.15090545995612614,0,1.0,0.011429367236067071,0.0,0.004364286469803097,0,0.011429367236067071,0.0,0.011429367236067071,0.0,0,0.029624399879007644,0,0.03233263776782031,0,0.05924879975801529,0,0.06466527553564062,0,1.0,0,1.0,0.5,0.0,1.0,1.0,0,0.0024963822070056224,0,0.00998552882802249,0,0.02496382207005622,0,1.0,0,0
63,3168953.4763376783,2849.465995982,2892.24123846,43,129,799.6753363937739,190.1934387575671,0.0,0,0,0.6,1.2,139.3993788101079,112.27877242072678,27.120606389381113,5.056681000159261,8.164809229283025,11.510002009869176,0.0922635577860562,2.3020004019738356,9.208001607895342,4.773900435138783,3.7420532229037913,2892.24123846,2850.2323097224003,3168953.4763376783,3160483.271917678,288803.9081038969,137050.0427153246,1.0,0.9854753026203416,0.0012056902275781206,0.0,0.0012056902275781206,0.0,0.08702449355590212,0.0,0.027906976744186046,0.0,0.004651162790697674,0.0,0,0.029399308140460823,0,0.058798616280921645,0,1.0,0.007904982148469613,0.0,0.0021456641345594467,0,0.007904982148469613,0.0,0.007904982148469613,0.0,0,0.035101361549757355,0,0.03564871449633812,0,0.07020272309951471,0,0.07129742899267624,0,1.0,0,1.0,0.5,0.0,1.0,1.0,0,0.0028786687511896582,0,0.011514675004758633,0,0.028786687511896582,0,1.0,0,0
64,2568910.793387,2707.0402693840006,2270.748265824,51,153,527.5501880813034,131.50264147796332,0.0,0,0,0.4,0.8,158.99147486917767,127.22793419975142,31.763540669426316,4.663786696395392,11.598387197529341,8.778831933754121,0.10589608916582345,1.7557663867508242,7.023065547003297,2.8881364764010136,4.822802575838832,2270.748265824,2270.748265824,2568910.793387,2568910.793387,261663.24683748442,76154.69014561464,1.0,1.0,0.0010955633398662512,0.0,0.0010955633398662512,0.0,0.09456475638899671,0.0,0.01568627450980392,0.0,0.0026143790849673205,0.0,0,0.022861699492134274,0,0.04572339898426855,0,1.0,0.01633454119847465,0.0,0.0020763939052122244,0,0.01633454119847465,0.0,0.01633454119847465,0.0,0,0.0602918627810932,0,0.06038574646188594,0,0.1205837255621864,0,0.12077149292377189,0,1.0,0,1.0,0.5,0.0,1.0,1.0,0,0.0033281504327323536,0,0.013312601730929415,0,0.03328150432732353,0,1.0,0,0
65,2031508.9372691,1472.472004523,1330.0,23,69,367.2,91.8,0.0,0,0,0.4000000000000001,0.8000000000000002,82.25532761746634,65.80426209397307,16.451065523493266,1.9147342995169083,4.924365622778463,6.1651769774368725,0.044780184831818025,1.2330353954873745,4.932141581949498,1.959128564309796,2.134106583854031,1330.0,1330.0,2031508.9372691,2031508.9372691,275304.565190768,221527.69017282705,1.0,1.0,0.0010670634881861634,0.0,0.0010670634881861634,0.0,0.09278724277626221,0.0,0.03478260869565218,0.0,0.005797101449275363,0.0,0,0.02081232934257509,0,0.04162465868515018,0,1.0,0.010216526188337061,0.0,0.0019469645579051314,0,0.010216526188337061,0.0,0.010216526188337061,0.0,0,0.04480137669796641,0,0.04480137669796641,0,0.08960275339593282,0,0.08960275339593282,0,1.0,0,1.0,0.5,0.0,1.0,1.0,0,0.0033579395301943753,0,0.013431758120777501,0,0.03357939530194375,0,1.0,0,0
66,1664296.7492571801,817.603325939,621.0,17,51,197.6,49.4,0.0,0,0,0.19999999999999998,0.7999999999999999,31.35102872608175,25.080822980865403,6.270205745216351,1.0650362318840578,2.9095527618762547,3.038245459138235,0.028543545228919574,0.6076490918276471,2.4305963673105886,1.1503673155762553,1.5123574579181271,621.0,621.0,1664296.7492571801,1664296.7492571801,271045.0646356914,219671.71287633956,1.0,1.0,0.0011643393882350762,0.0,0.0011643393882350762,0.0,0.08896220340694866,0.0,0.047058823529411764,0.0,0.00392156862745098,0.0,0,0.01566229752770673,0,0.03132459505541346,0,1.0,0.011021033188925207,0.0,0.0016790320722893867,0,0.011021033188925207,0.0,0.011021033188925207,0.0,0,0.03173181045149975,0,0.03173181045149975,0,0.0634636209029995,0,0.0634636209029995,0,1.0,0,1.0,0.5,0.0,1.0,1.0,0,0.0030751472258484162,0,0.012300588903393665,0,0.03075147225848416,0,1.0,0,0
67,1352440.6407746,311.628958829,286.0,7,21,96.80000000000003,24.200000000000006,0.0,0,0,0.0,0.19999999999999998,5.8056545008818015,4.644523600705442,1.1611309001763606,0.0,2.0703389830508474,1.2214601467270225,0.01779661016949153,0.24429202934540456,0.9771681173816182,0.9243000167897684,0.7118644067796611,286.0,286.0,1352440.6407746,1352440.6407746,395993.4146375401,0.0,1.0,1.0,0.0019097107784912565,0.0,0.0019097107784912565,0.0,0.10169491525423731,0.0,0.02857142857142857,0.0,0.0,0.0,0,0.0,0,0.0,0,1.0,0.016174523305084742,0.0,0.002542372881355933,0,0.016174523305084742,0.0,0.016174523305084742,0.0,0,0.011995153927441738,0,0.011995153927441738,0,0.023990307854883475,0,0.023990307854883475,0,1.0,0,1.0,0.5,0.0,1.0,1.0,0,0.002523677989105418,0,0.010094711956421672,0,0.02523677989105418,0,1.0,0,0
